#Name,red,green,blue
aliceblue,0.941176470588,0.972549019608,1.0
antiquewhite,0.980392156863,0.921568627451,0.843137254902
aqua,0.0,1.0,1.0
aquamarine,0.498039215686,1.0,0.83137254902
azure,0.941176470588,1.0,1.0
beige,0.960784313725,0.960784313725,0.862745098039
bisque,1.0,0.894117647059,0.76862745098
black,0.0,0.0,0.0
blanchedalmond,1.0,0.921568627451,0.803921568627
blue,0.0,0.0,1.0
blueviolet,0.541176470588,0.16862745098,0.886274509804
brown,0.647058823529,0.164705882353,0.164705882353
burlywood,0.870588235294,0.721568627451,0.529411764706
cadetblue,0.372549019608,0.619607843137,0.627450980392
chartreuse,0.498039215686,1.0,0.0
chocolate,0.823529411765,0.411764705882,0.117647058824
coral,1.0,0.498039215686,0.313725490196
cornflowerblue,0.392156862745,0.58431372549,0.929411764706
cornsilk,1.0,0.972549019608,0.862745098039
crimson,0.862745098039,0.078431372549,0.235294117647
cyan,0.0,1.0,1.0
darkblue,0.0,0.0,0.545098039216
darkcyan,0.0,0.545098039216,0.545098039216
darkgoldenrod,0.721568627451,0.525490196078,0.043137254902
darkgray,0.662745098039,0.662745098039,0.662745098039
darkgreen,0.0,0.392156862745,0.0
darkgrey,0.662745098039,0.662745098039,0.662745098039
darkkhaki,0.741176470588,0.717647058824,0.419607843137
darkmagenta,0.545098039216,0.0,0.545098039216
darkolivegreen,0.333333333333,0.419607843137,0.18431372549
darkorange,1.0,0.549019607843,0.0
darkorchid,0.6,0.196078431373,0.8
darkred,0.545098039216,0.0,0.0
darksalmon,0.913725490196,0.588235294118,0.478431372549
darkseagreen,0.560784313725,0.737254901961,0.560784313725
darkslateblue,0.282352941176,0.239215686275,0.545098039216
darkslategray,0.18431372549,0.309803921569,0.309803921569
darkslategrey,0.18431372549,0.309803921569,0.309803921569
darkturquoise,0.0,0.807843137255,0.819607843137
darkviolet,0.580392156863,0.0,0.827450980392
deeppink,1.0,0.078431372549,0.576470588235
deepskyblue,0.0,0.749019607843,1.0
dimgray,0.411764705882,0.411764705882,0.411764705882
dimgrey,0.411764705882,0.411764705882,0.411764705882
dodgerblue,0.117647058824,0.564705882353,1.0
firebrick,0.698039215686,0.133333333333,0.133333333333
floralwhite,1.0,0.980392156863,0.941176470588
forestgreen,0.133333333333,0.545098039216,0.133333333333
fuchsia,1.0,0.0,1.0
gainsboro,0.862745098039,0.862745098039,0.862745098039
ghostwhite,0.972549019608,0.972549019608,1.0
gold,1.0,0.843137254902,0.0
goldenrod,0.854901960784,0.647058823529,0.125490196078
gray,0.501960784314,0.501960784314,0.501960784314
green,0.0,0.501960784314,0.0
greenyellow,0.678431372549,1.0,0.18431372549
grey,0.501960784314,0.501960784314,0.501960784314
honeydew,0.941176470588,1.0,0.941176470588
hotpink,1.0,0.411764705882,0.705882352941
indianred,0.803921568627,0.360784313725,0.360784313725
indigo,0.294117647059,0.0,0.509803921569
ivory,1.0,1.0,0.941176470588
khaki,0.941176470588,0.901960784314,0.549019607843
lavender,0.901960784314,0.901960784314,0.980392156863
lavenderblush,1.0,0.941176470588,0.960784313725
lawngreen,0.486274509804,0.988235294118,0.0
lemonchiffon,1.0,0.980392156863,0.803921568627
lightblue,0.678431372549,0.847058823529,0.901960784314
lightcoral,0.941176470588,0.501960784314,0.501960784314
lightcyan,0.878431372549,1.0,1.0
lightgoldenrodyellow,0.980392156863,0.980392156863,0.823529411765
lightgray,0.827450980392,0.827450980392,0.827450980392
lightgreen,0.564705882353,0.933333333333,0.564705882353
lightgrey,0.827450980392,0.827450980392,0.827450980392
lightpink,1.0,0.713725490196,0.756862745098
lightsalmon,1.0,0.627450980392,0.478431372549
lightseagreen,0.125490196078,0.698039215686,0.666666666667
lightskyblue,0.529411764706,0.807843137255,0.980392156863
lightslategray,0.466666666667,0.533333333333,0.6
lightslategrey,0.466666666667,0.533333333333,0.6
lightsteelblue,0.690196078431,0.76862745098,0.870588235294
lightyellow,1.0,1.0,0.878431372549
lime,0.0,1.0,0.0
limegreen,0.196078431373,0.803921568627,0.196078431373
linen,0.980392156863,0.941176470588,0.901960784314
magenta,1.0,0.0,1.0
maroon,0.501960784314,0.0,0.0
mediumaquamarine,0.4,0.803921568627,0.666666666667
mediumblue,0.0,0.0,0.803921568627
mediumorchid,0.729411764706,0.333333333333,0.827450980392
mediumpurple,0.576470588235,0.439215686275,0.858823529412
mediumseagreen,0.235294117647,0.701960784314,0.443137254902
mediumslateblue,0.482352941176,0.407843137255,0.933333333333
mediumspringgreen,0.0,0.980392156863,0.603921568627
mediumturquoise,0.282352941176,0.819607843137,0.8
mediumvioletred,0.780392156863,0.0823529411765,0.521568627451
midnightblue,0.0980392156863,0.0980392156863,0.439215686275
mintcream,0.960784313725,1.0,0.980392156863
mistyrose,1.0,0.894117647059,0.882352941176
moccasin,1.0,0.894117647059,0.709803921569
navajowhite,1.0,0.870588235294,0.678431372549
navy,0.0,0.0,0.501960784314
oldlace,0.992156862745,0.960784313725,0.901960784314
olive,0.501960784314,0.501960784314,0.0
olivedrab,0.419607843137,0.556862745098,0.137254901961
orange,1.0,0.647058823529,0.0
orangered,1.0,0.270588235294,0.0
orchid,0.854901960784,0.439215686275,0.839215686275
palegoldenrod,0.933333333333,0.909803921569,0.666666666667
palegreen,0.596078431373,0.98431372549,0.596078431373
paleturquoise,0.686274509804,0.933333333333,0.933333333333
palevioletred,0.858823529412,0.439215686275,0.576470588235
papayawhip,1.0,0.937254901961,0.835294117647
peachpuff,1.0,0.854901960784,0.725490196078
peru,0.803921568627,0.521568627451,0.247058823529
pink,1.0,0.752941176471,0.796078431373
plum,0.866666666667,0.627450980392,0.866666666667
powderblue,0.690196078431,0.878431372549,0.901960784314
purple,0.501960784314,0.0,0.501960784314
rebeccapurple,0.4,0.2,0.6
red,1.0,0.0,0.0
rosybrown,0.737254901961,0.560784313725,0.560784313725
royalblue,0.254901960784,0.411764705882,0.882352941176
saddlebrown,0.545098039216,0.270588235294,0.0745098039216
salmon,0.980392156863,0.501960784314,0.447058823529
sandybrown,0.956862745098,0.643137254902,0.376470588235
seagreen,0.180392156863,0.545098039216,0.341176470588
seashell,1.0,0.960784313725,0.933333333333
sienna,0.627450980392,0.321568627451,0.176470588235
silver,0.752941176471,0.752941176471,0.752941176471
skyblue,0.529411764706,0.807843137255,0.921568627451
slateblue,0.41568627451,0.352941176471,0.803921568627
slategray,0.439215686275,0.501960784314,0.564705882353
slategrey,0.439215686275,0.501960784314,0.564705882353
snow,1.0,0.980392156863,0.980392156863
springgreen,0.0,1.0,0.498039215686
steelblue,0.274509803922,0.509803921569,0.705882352941
tan,0.823529411765,0.705882352941,0.549019607843
teal,0.0,0.501960784314,0.501960784314
thistle,0.847058823529,0.749019607843,0.847058823529
tomato,1.0,0.388235294118,0.278431372549
turquoise,0.250980392157,0.878431372549,0.81568627451
violet,0.933333333333,0.509803921569,0.933333333333
wheat,0.960784313725,0.870588235294,0.701960784314
white,1.0,1.0,1.0
whitesmoke,0.960784313725,0.960784313725,0.960784313725
yellow,1.0,1.0,0.0
yellowgreen,0.603921568627,0.803921568627,0.196078431373